Id,Label,Modularity Class,City,State,Country,Latitude,Longitude
1426,"santa catarina,nuevo león,mexico",,santa catarina,nuevo león,mexico,25.67325,-100.45813
1427,"potosi,potosí,bolivia",,potosi,potosí,bolivia,-19.58361,-65.75306
1428,"lucianopolis,sao paulo,brazil",,lucianopolis,sao paulo,brazil,-22.431,-49.523
1429,"massaranduba,santa catarina,brazil",,massaranduba,santa catarina,brazil,-26.611,-49.008
1430,"itanhem,bahia,brazil",,itanhem,bahia,brazil,-17.166,-40.33
1431,"joao pinheiro,minas gerais,brazil",,joao pinheiro,minas gerais,brazil,-17.743,-46.173
1432,"cucuta,norte de santander,colombia",,cucuta,norte de santander,colombia,7.89391,-72.50782
1433,"florai,parana,brazil",,florai,parana,brazil,-23.317,-52.304
1434,"pereiro,ceara,brazil",,pereiro,ceara,brazil,-6.045,-38.461
1435,"sao bento do una,pernambuco,brazil",,sao bento do una,pernambuco,brazil,-8.523,-36.444
1436,"nova lima,minas gerais,brazil",,nova lima,minas gerais,brazil,-19.986,-43.847
1437,"capitolio,minas gerais,brazil",,capitolio,minas gerais,brazil,-20.615,-46.05
1438,"campo alegre de lourdes,bahia,brazil",,campo alegre de lourdes,bahia,brazil,-9.516,-43.011
1439,"paraibuna,sao paulo,brazil",,paraibuna,sao paulo,brazil,-23.386,-45.662
1440,"vicosa do ceara,ceara,brazil",,vicosa do ceara,ceara,brazil,-3.562,-41.092
1441,"perola,parana,brazil",,perola,parana,brazil,-23.805,-53.684
1442,"araucaria,parana,brazil",,araucaria,parana,brazil,-25.593,-49.41
1443,"nova aurora,parana,brazil",,nova aurora,parana,brazil,-24.529,-53.256
1444,"sertanopolis,parana,brazil",,sertanopolis,parana,brazil,-23.059,-51.036
1445,"barra do rocha,bahia,brazil",,barra do rocha,bahia,brazil,-14.211,-39.602
1446,"cabo de santo agostinho,pernambuco,brazil",,cabo de santo agostinho,pernambuco,brazil,-8.287,-35.035
1447,"sao pedro,sao paulo,brazil",,sao pedro,sao paulo,brazil,-22.549,-47.914
1448,"iramaia,bahia,brazil",,iramaia,bahia,brazil,-13.286,-40.951
1449,"sao miguel do guama,para,brazil",,sao miguel do guama,para,brazil,-1.627,-47.483
1450,"miranda,mato grosso do sul,brazil",,miranda,mato grosso do sul,brazil,-20.241,-56.378
1451,"maria da fe,minas gerais,brazil",,maria da fe,minas gerais,brazil,-22.308,-45.375
1452,"urupes,sao paulo,brazil",,urupes,sao paulo,brazil,-21.202,-49.29
1453,"piquete,sao paulo,brazil",,piquete,sao paulo,brazil,-22.614,-45.176
1454,"santo antonio de posse,sao paulo,brazil",,santo antonio de posse,sao paulo,brazil,-22.606,-46.919
1455,"ribeirao pires,sao paulo,brazil",,ribeirao pires,sao paulo,brazil,-23.711,-46.413
1456,"paudalho,pernambuco,brazil",,paudalho,pernambuco,brazil,-7.897,-35.18
1457,"paracambi,rio de janeiro,brazil",,paracambi,rio de janeiro,brazil,-22.611,-43.709
1458,"socorro,sao paulo,brazil",,socorro,sao paulo,brazil,-22.591,-46.529
1459,"maravilha,santa catarina,brazil",,maravilha,santa catarina,brazil,-26.761,-53.173
1460,"osorio,rio grande do sul,brazil",,osorio,rio grande do sul,brazil,-29.887,-50.27
1461,"ariranha,sao paulo,brazil",,ariranha,sao paulo,brazil,-21.188,-48.787
1462,"aguai,sao paulo,brazil",,aguai,sao paulo,brazil,-22.059,-46.979
1463,"sertaneja,parana,brazil",,sertaneja,parana,brazil,-23.037,-50.838
1464,"salinas,minas gerais,brazil",,salinas,minas gerais,brazil,-16.17,-42.29
1465,"ladario,mato grosso do sul,brazil",,ladario,mato grosso do sul,brazil,-19.005,-57.602
1466,"sincelejo,sucre,colombia",,sincelejo,sucre,colombia,9.30472,-75.39778
1467,"mendoza,mendoza,argentina",,mendoza,mendoza,argentina,-32.89084,-68.82717
1468,"varese,lombardy,italy",,varese,lombardy,italy,45.81934,8.82223
1469,"junqueiropolis,sao paulo,brazil",,junqueiropolis,sao paulo,brazil,-21.515,-51.434
1470,"navirai,mato grosso do sul,brazil",,navirai,mato grosso do sul,brazil,-23.065,-54.191
1471,"palestina,sao paulo,brazil",,palestina,sao paulo,brazil,-20.39,-49.433
1472,"tunja,boyacá,colombia",,tunja,boyacá,colombia,5.53528,-73.36778
1473,"praia,praia,cape verde",,praia,praia,cape verde,14.93152,-23.51254
1474,"monte alegre,para,brazil",,monte alegre,para,brazil,-2.008,-54.069
1475,"itanhandu,minas gerais,brazil",,itanhandu,minas gerais,brazil,-22.296,-44.935
1476,"gwangju,gwangju,south korea",,gwangju,gwangju,south korea,35.15472,126.91556
1477,"malacacheta,minas gerais,brazil",,malacacheta,minas gerais,brazil,-17.842,-42.077
1478,"pedreira,sao paulo,brazil",,pedreira,sao paulo,brazil,-22.742,-46.901
1479,"pirajuba,minas gerais,brazil",,pirajuba,minas gerais,brazil,-19.907,-48.701
1480,"shanghai,shanghai shi,china",,shanghai,shanghai shi,china,31.22222,121.45806
1481,"jacutinga,minas gerais,brazil",,jacutinga,minas gerais,brazil,-22.286,-46.612
1482,"ayacucho,ayacucho,peru",,ayacucho,ayacucho,peru,-13.15878,-74.22321
1483,"bari,apulia,italy",,bari,apulia,italy,41.11148,16.8554
1484,"liberdade,minas gerais,brazil",,liberdade,minas gerais,brazil,-22.029,-44.32
1485,"sao jose de mipibu,rio grande do norte,brazil",,sao jose de mipibu,rio grande do norte,brazil,-6.075,-35.238
1486,"mesquita,minas gerais,brazil",,mesquita,minas gerais,brazil,-19.223,-42.607
1487,"cunha,sao paulo,brazil",,cunha,sao paulo,brazil,-23.074,-44.96
1488,"nova odessa,sao paulo,brazil",,nova odessa,sao paulo,brazil,-22.778,-47.296
1489,"sabaudia,parana,brazil",,sabaudia,parana,brazil,-23.318,-51.553
1490,"funchal,madeira,portugal",,funchal,madeira,portugal,32.63333,-16.9
1491,"loanda,parana,brazil",,loanda,parana,brazil,-22.923,-53.137
1492,"maranguape,ceara,brazil",,maranguape,ceara,brazil,-3.89,-38.686
1493,"mindelo,são vicente,cape verde",,mindelo,são vicente,cape verde,16.89014,-24.98042
1494,"quintana,sao paulo,brazil",,quintana,sao paulo,brazil,-22.073,-50.308
