;Label;Modularity Class;City;State;Country;In-Degree;Out-Degree;Degree;Weighted Degree;Weighted In-Degree;Weighted Out-Degree;;;;
;colegio rio branco;instituition;sao paulo;sao paulo;brazil;16;0;16;89;89;0;;;;
;universidad de la habana;instituition;centro habana;ciudad de la habana;cuba;21;0;21;89;89;0;;;;
;universidad de chile;instituition;valparaiso;valparaí_so;chile;35;0;35;89;89;0;;;;
;universidade cidade de sao paulo;instituition;sao paulo;sao paulo;brazil;17;0;17;88;88;0;;;;
;universidade nove de julho;instituition;sao paulo;sao paulo;brazil;38;0;38;88;88;0;;;;
;universidade da regiao de joinville;instituition;joinville;santa catarina;brazil;36;0;36;88;88;0;;;;
;escola bahiana de medicina e saude publica;instituition;salvador;bahia;brazil;24;0;24;87;87;0;;;;
;instituicao toledo de ensino;instituition;bauru;sao paulo;brazil;35;0;35;86;86;0;;;;
;universidad complutense de madrid;instituition;madrid;madrid;spain;42;0;42;86;86;0;;;;
;escola naval;instituition;rio de janeiro;rio de janeiro;brazil;28;0;28;85;85;0;;;;
;centro universitario de joao pessoa;instituition;joao pessoa;paraiba;brazil;22;0;22;85;85;0;;;;
;escola tecnica federal do ceara;instituition;fortaleza;ceara;brazil;24;0;24;85;85;0;;;;
;universidade estadual de mato grosso do sul;instituition;dourados;mato grosso do sul;brazil;54;0;54;85;85;0;;;;
;faculdade de medicina da usp;instituition;sao paulo;sao paulo;brazil;22;0;22;83;83;0;;;;
;centro universitario sao camilo;instituition;sao paulo;sao paulo;brazil;20;0;20;83;83;0;;;;
;colegio objetivo;instituition;sao paulo;sao paulo;brazil;46;0;46;83;83;0;;;;
;centro de ensino superior de juiz de fora;instituition;juiz de fora;minas gerais;brazil;28;0;28;83;83;0;;;;
;instituto federal sul rio grandense;instituition;charqueadas;rio grande do sul;brazil;22;0;22;83;83;0;;;;
;centro universitario das faculdades metropolitanas unidas;instituition;sao paulo;sao paulo;brazil;24;0;24;82;82;0;;;;
;escola tecnica federal de quimica;instituition;rio de janeiro;rio de janeiro;brazil;7;0;7;82;82;0;;;;
;centro universitario de belo horizonte;instituition;belo horizonte;minas gerais;brazil;27;0;27;82;82;0;;;;
;universidade norte do parana;instituition;londrina;parana;brazil;44;0;44;82;82;0;;;;
;faculdade de medicina de jundiai;instituition;jundiai;sao paulo;brazil;30;0;30;82;82;0;;;;
;escola tecnica federal de santa catarina;instituition;florianopolis;santa catarina;brazil;30;0;30;81;81;0;;;;
;universidade camilo castelo branco;instituition;sao paulo;sao paulo;brazil;30;0;30;81;81;0;;;;
;escola tecnica federal do espirito santo;instituition;vitoria;espirito santo;brazil;28;0;28;81;81;0;;;;
;universidade do porto;instituition;porto;porto;portugal;27;0;27;79;79;0;;;;
;universidade federal dos vales do jequitinhonha e mucuri campus jk;instituition;diamantina;minas gerais;brazil;45;0;45;77;77;0;;;;
;universidade bandeirante de sao paulo;instituition;sao paulo;sao paulo;brazil;20;0;20;76;76;0;;;;
;universidade de cuiaba;instituition;cuiaba;mato grosso;brazil;47;0;47;76;76;0;;;;
;universidade do extremo sul catarinense;instituition;criciuma;santa catarina;brazil;31;0;31;76;76;0;;;;
;faculdade de medicina de ribeirao preto;instituition;ribeirao preto;sao paulo;brazil;39;0;39;75;75;0;;;;
;instituto metodista bennett;instituition;rio de janeiro;rio de janeiro;brazil;22;0;22;74;74;0;;;;
;hospital das clinicas da faculdade de medicina da universidade de sao paulo;instituition;sao paulo;sao paulo;brazil;34;0;34;73;73;0;;;;
;universidade castelo branco;instituition;rio de janeiro;rio de janeiro;brazil;24;0;24;73;73;0;;;;
