"city";"uf";"country";"latitude";"longitude";"count"
"Porto Nacional";"tocantins";"brasil";-10.708;-48.417;18
"São José do Calçado";"espirito Santo";"brasil";-21.025;-41.654;18
"Uchoa";"sao paulo";"brasil";-20.953;-49.175;18
"Amambaí";"mato grosso do sul";"brasil";-23.104;-55.226;18
"Gravatá";"pernambuco";"brasil";-8.201;-35.565;18
"Mairinque";"sao paulo";"brasil";-23.546;-47.183;18
"Realeza";"parana";"brasil";-25.767;-53.527;18
"Muqui";"espirito Santo";"brasil";-20.952;-41.346;18
"Auriflama";"sao paulo";"brasil";-20.686;-50.555;18
"Taquarituba";"sao paulo";"brasil";-23.533;-49.244;18
"Gaspar";"santa catarina";"brasil";-26.931;-48.959;18
"Capelinha";"minas gerais";"brasil";-17.691;-42.516;18
"Pitanga";"parana";"brasil";-24.757;-51.761;17
"Alecrim";"rio grande do sul";"brasil";-27.655;-54.764;17
"Terra Rica";"parana";"brasil";-22.709;-52.617;17
"Chavantes";"sao paulo";"brasil";-23.039;-49.709;17
"Gramado";"rio grande do sul";"brasil";-29.379;-50.874;17
"Pojuca";"bahia";"brasil";-12.431;-38.328;17
"Rinópolis";"sao paulo";"brasil";-21.726;-50.722;17
"Taboão da Serra";"sao paulo";"brasil";-23.602;-46.753;17
"Rio Casca";"minas gerais";"brasil";-20.226;-42.651;17
"Capinópolis";"minas gerais";"brasil";-18.682;-49.57;17
"Passa Quatro";"minas gerais";"brasil";-22.39;-44.967;17
"Rio Negrinho";"santa catarina";"brasil";-26.254;-49.518;17
"Zaragoza";"Aragon";"Spain";41.65606;-0.87734;17
"Budapest";"Budapest";"Hungary";47.49801;19.03991;17
"Céu Azul";"parana";"brasil";-25.147;-53.849;17
"Nova Trento";"santa catarina";"brasil";-27.286;-48.93;17
"Rivera";"Rivera";"Uruguay";-30.90534;-55.55076;17
"Bicas";"minas gerais";"brasil";-21.725;-43.059;17
"Poá";"sao paulo";"brasil";-23.528;-46.345;17
"João Neiva";"espirito Santo";"brasil";-19.758;-40.386;17
"Pereira";"Risaralda";"Colombia";4.81333;-75.69611;17
"Barreiros";"pernambuco";"brasil";-8.818;-35.186;17
"Apodi";"rio grande do norte";"brasil";-5.664;-37.799;17
"Brejo Santo";"ceara";"brasil";-7.493;-38.985;17
"São Vicente do Sul";"rio grande do sul";"brasil";-29.692;-54.679;17
"Icó";"ceara";"brasil";-6.401;-38.862;17
"Mineiros";"goias";"brasil";-17.569;-52.551;17
"Viadutos";"rio grande do sul";"brasil";-27.569;-52.02;17
"Mauriti";"ceara";"brasil";-7.389;-38.774;17
"Cubatão";"sao paulo";"brasil";-23.895;-46.425;17
"Parelhas";"rio grande do norte";"brasil";-6.688;-36.658;17
"Cardoso";"sao paulo";"brasil";-20.082;-49.914;17
"León";"Castille and León";"Spain";42.60003;-5.57032;17
"Paim Filho";"rio grande do sul";"brasil";-27.711;-51.761;17
"Oruro";"Oruro";"Bolivia";-17.98333;-67.15;17
"Brodowski";"sao paulo";"brasil";-20.991;-47.659;17
"Rio Bonito";"rio de janeiro";"brasil";-22.708;-42.626;17
"Arealva";"sao paulo";"brasil";-22.029;-48.911;17
"Chiclayo";"Lambayeque";"Peru";-6.77137;-79.84088;16
"Muritiba";"bahia";"brasil";-12.626;-38.99;16
"Campinas do Sul";"rio grande do sul";"brasil";-27.716;-52.628;16
"Santo Amaro";"bahia";"brasil";-12.547;-38.712;16
"Siderópolis";"santa catarina";"brasil";-28.598;-49.424;16
"Carmo do Rio Claro";"minas gerais";"brasil";-20.972;-46.119;16
"Rio dos Cedros";"santa catarina";"brasil";-26.738;-49.274;16
"Jaguapitã";"parana";"brasil";-23.113;-51.532;16
"Lauro Muller";"santa catarina";"brasil";-28.393;-49.397;16
"Nova Odessa";"sao paulo";"brasil";-22.778;-47.296;16
"Baixo Guandu";"espirito Santo";"brasil";-19.519;-41.016;16
"Poconé";"mato grosso";"brasil";-16.257;-56.623;16
"Boituva";"sao paulo";"brasil";-23.283;-47.672;16
"Açu";"rio grande do norte";"brasil";-5.577;-36.909;16
"Canavieiras";"bahia";"brasil";-15.675;-38.947;16
"Macatuba";"sao paulo";"brasil";-22.502;-48.711;16
"Muçum";"rio grande do sul";"brasil";-29.165;-51.868;16
"Araruama";"rio de janeiro";"brasil";-22.873;-42.343;16
"Barras";"piaui";"brasil";-4.247;-42.296;16
